Date;Open;High;Low;Close*;Adj Close**;Volume;Company_Code;Industry;Country;Company_Name
Mar. 24, 2021;115.94;117.97;115.84;117.14;117.14;21,851,200;RY.TO;Finance;Canada;RBC
Mar. 17, 2021;116.25;117.52;115.55;115.84;115.84;25,414,700;RY.TO;Finance;Canada;RBC
Mar. 10, 2021;114.37;117.22;114.32;115.99;115.99;13,401,700;RY.TO;Finance;Canada;RBC
Mar. 03, 2021;110.13;114.93;109.44;114.30;114.30;21,891,800;RY.TO;Finance;Canada;RBC
Feb. 24, 2021;113.39;113.39;108.15;109.70;109.70;28,987,600;RY.TO;Finance;Canada;RBC
Feb. 17, 2021;106.30;112.99;106.27;112.17;112.17;26,839,400;RY.TO;Finance;Canada;RBC
Feb. 10, 2021;106.75;106.81;105.10;106.46;106.46;13,259,800;RY.TO;Finance;Canada;RBC
Feb. 03, 2021;105.85;107.33;104.97;107.07;107.07;18,427,200;RY.TO;Finance;Canada;RBC
Jan. 27, 2021;105.48;106.11;103.22;105.66;105.66;30,143,500;RY.TO;Finance;Canada;RBC
Jan. 25, 2021;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;RY.TO;Finance;Canada;RBC
Jan. 20, 2021;108.04;108.54;105.36;105.99;104.92;44,932,800;RY.TO;Finance;Canada;RBC
Jan. 13, 2021;108.31;108.84;107.50;107.80;106.72;25,369,600;RY.TO;Finance;Canada;RBC
Jan. 06, 2021;105.85;108.84;105.52;108.46;107.37;19,285,000;RY.TO;Finance;Canada;RBC
Dec. 30, 2020;105.42;105.62;104.08;105.35;104.29;8,359,500;RY.TO;Finance;Canada;RBC
Dec. 23, 2020;103.60;105.68;103.55;105.20;104.14;7,933,900;RY.TO;Finance;Canada;RBC
Dec. 16, 2020;104.66;105.15;102.74;103.48;102.44;24,093,700;RY.TO;Finance;Canada;RBC
Dec. 09, 2020;106.02;106.98;104.21;104.42;103.37;13,928,800;RY.TO;Finance;Canada;RBC
Dec. 02, 2020;107.00;107.26;104.61;105.81;104.75;13,460,600;RY.TO;Finance;Canada;RBC
Nov. 25, 2020;107.10;108.44;106.06;107.04;105.96;14,749,600;RY.TO;Finance;Canada;RBC
Nov. 18, 2020;103.34;107.79;103.15;107.71;106.63;28,549,400;RY.TO;Finance;Canada;RBC
Nov. 11, 2020;99.99;103.74;99.22;103.46;102.42;26,896,200;RY.TO;Finance;Canada;RBC
Nov. 04, 2020;94.86;100.16;94.03;99.40;98.40;24,652,200;RY.TO;Finance;Canada;RBC
Oct. 28, 2020;92.00;95.26;90.75;94.94;93.98;18,893,000;RY.TO;Finance;Canada;RBC
Oct. 23, 2020;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;RY.TO;Finance;Canada;RBC
Oct. 21, 2020;95.77;97.66;92.58;92.91;90.95;37,199,000;RY.TO;Finance;Canada;RBC
Oct. 14, 2020;97.33;97.57;95.80;95.90;93.88;28,937,500;RY.TO;Finance;Canada;RBC
Oct. 07, 2020;97.05;98.32;96.55;97.30;95.25;14,151,400;RY.TO;Finance;Canada;RBC
Sep. 30, 2020;93.76;96.78;92.58;95.64;93.63;16,540,600;RY.TO;Finance;Canada;RBC
Sep. 23, 2020;95.00;96.14;93.20;93.91;91.93;17,525,100;RY.TO;Finance;Canada;RBC
Sep. 16, 2020;98.10;98.42;93.10;94.32;92.34;14,747,700;RY.TO;Finance;Canada;RBC
Sep. 09, 2020;97.01;98.32;96.10;98.13;96.07;8,783,000;RY.TO;Finance;Canada;RBC
Sep. 02, 2020;99.29;100.03;95.72;96.29;94.26;9,161,900;RY.TO;Finance;Canada;RBC
Aug. 26, 2020;102.03;102.85;98.43;99.03;96.95;14,766,800;RY.TO;Finance;Canada;RBC
Aug. 19, 2020;97.33;100.23;96.92;99.92;97.82;13,352,200;RY.TO;Finance;Canada;RBC
Aug. 12, 2020;98.35;98.92;96.88;97.32;95.27;13,044,000;RY.TO;Finance;Canada;RBC
Aug. 05, 2020;92.95;98.16;92.62;97.66;95.61;22,807,500;RY.TO;Finance;Canada;RBC
Jul. 29, 2020;92.64;93.46;91.68;92.49;90.54;13,239,900;RY.TO;Finance;Canada;RBC
Jul. 24, 2020;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;RY.TO;Finance;Canada;RBC
Jul. 22, 2020;95.60;95.85;92.39;92.49;89.52;22,950,500;RY.TO;Finance;Canada;RBC
Jul. 15, 2020;95.55;96.83;94.58;95.70;92.62;38,241,300;RY.TO;Finance;Canada;RBC
Jul. 08, 2020;92.41;95.00;90.55;94.83;91.78;22,680,200;RY.TO;Finance;Canada;RBC
Jul. 01, 2020;92.57;94.14;92.02;92.47;89.50;10,811,200;RY.TO;Finance;Canada;RBC
Jun. 24, 2020;92.00;93.42;90.82;92.11;89.15;17,222,500;RY.TO;Finance;Canada;RBC
Jun. 17, 2020;92.89;94.10;91.19;92.60;89.62;21,175,900;RY.TO;Finance;Canada;RBC
Jun. 10, 2020;94.58;95.09;89.11;92.75;89.77;13,376,500;RY.TO;Finance;Canada;RBC
Jun. 03, 2020;95.45;99.40;92.98;94.64;91.60;12,629,000;RY.TO;Finance;Canada;RBC
May 27, 2020;86.99;94.53;86.96;93.64;90.63;19,057,400;RY.TO;Finance;Canada;RBC
May 20, 2020;84.50;88.03;82.03;88.03;85.20;16,008,000;RY.TO;Finance;Canada;RBC
May 13, 2020;84.81;85.39;80.72;83.73;81.04;16,810,700;RY.TO;Finance;Canada;RBC
May 06, 2020;85.51;87.17;84.03;84.89;82.16;20,255,200;RY.TO;Finance;Canada;RBC
Apr. 29, 2020;87.25;88.51;83.33;84.88;82.15;17,664,800;RY.TO;Finance;Canada;RBC
Apr. 22, 2020;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;1.08 Dividend;RY.TO;Finance;Canada;RBC
Apr. 22, 2020;84.10;86.92;81.51;86.13;82.28;28,070,500;RY.TO;Finance;Canada;RBC
Apr. 15, 2020;85.90;88.04;83.17;83.73;79.99;41,253,200;RY.TO;Finance;Canada;RBC
Apr. 08, 2020;86.89;89.75;85.10;87.39;83.49;27,112,500;RY.TO;Finance;Canada;RBC
Apr. 01, 2020;83.32;89.65;81.22;85.67;81.85;23,351,800;RY.TO;Finance;Canada;RBC
Mar. 25, 2020;82.65;89.18;80.51;87.17;83.28;26,579,300;RY.TO;Finance;Canada;RBC
Mar. 18, 2020;82.70;86.24;72.00;81.75;78.10;40,511,400;RY.TO;Finance;Canada;RBC
Mar. 11, 2020;90.69;92.40;77.34;89.10;85.12;45,478,600;RY.TO;Finance;Canada;RBC
Mar. 04, 2020;101.95;102.25;89.00;92.38;88.26;34,168,400;RY.TO;Finance;Canada;RBC
Feb. 26, 2020;106.24;106.98;98.54;100.58;96.09;27,310,800;RY.TO;Finance;Canada;RBC
Feb. 19, 2020;108.00;109.42;105.81;106.22;101.48;19,500,600;RY.TO;Finance;Canada;RBC
Feb. 12, 2020;108.00;108.55;107.37;107.85;103.04;12,756,600;RY.TO;Finance;Canada;RBC
Feb. 05, 2020;106.97;107.97;106.65;107.77;102.96;11,904,700;RY.TO;Finance;Canada;RBC
Jan. 29, 2020;105.51;106.52;104.40;106.44;101.69;15,420,900;RY.TO;Finance;Canada;RBC
Jan. 24, 2020;1.05 Dividend;1.05 Dividend;1.05 Dividend;1.05 Dividend;1.05 Dividend;1.05 Dividend;RY.TO;Finance;Canada;RBC
Jan. 22, 2020;106.93;107.31;104.40;105.70;99.99;21,043,100;RY.TO;Finance;Canada;RBC
Jan. 15, 2020;105.00;107.27;104.92;106.79;101.02;18,253,900;RY.TO;Finance;Canada;RBC
Jan. 08, 2020;103.21;105.28;103.13;105.05;99.38;19,478,700;RY.TO;Finance;Canada;RBC
Jan. 01, 2020;103.29;103.71;102.66;103.23;97.66;8,981,200;RY.TO;Finance;Canada;RBC
Mar. 31, 2021;23.09;23.25;22.88;22.89;22.89;6,871,119;CS.PA;Finance;France;AXA
Mar. 24, 2021;22.27;23.25;22.17;23.15;23.15;25,850,914;CS.PA;Finance;France;AXA
Mar. 17, 2021;22.57;22.95;22.23;22.43;22.43;33,591,620;CS.PA;Finance;France;AXA
Mar. 10, 2021;22.70;23.00;22.44;22.61;22.61;23,843,090;CS.PA;Finance;France;AXA
Mar. 03, 2021;21.74;22.77;21.57;22.75;22.75;36,714,515;CS.PA;Finance;France;AXA
